Make,Model,Year,Country of Origin,Transmission,Engine Type,Engine Size (L),Mileage (km),Condition,Previous Owners,Additional Features,Resale Value (Ksh)
Honda,Accord,2019,Japan,Automatic,Diesel,3.0,103340,Excellent,3,Sunroof,1316788
BMW,3 Series,2012,Germany,Manual,Petrol,4.0,108706,Excellent,5,Heated Seats,2816639
BMW,3 Series,2009,Germany,Automatic,Petrol,3.0,98195,Fair,2,Heated Seats,1522869
Honda,CR-V,2003,Japan,Manual,Petrol,4.0,25533,Very Good,1,Leather Seats,1288959
Honda,CR-V,2010,Japan,Automatic,Diesel,1.8,84813,Very Good,3,Sunroof,976493
Ford,Fiesta,2016,USA,Manual,Diesel,1.4,33431,Fair,5,None,856247
Toyota,RAV4,2023,Japan,Automatic,Petrol,4.0,5729,Fair,5,Bluetooth,1603615
Mercedes,C-Class,2015,Germany,Automatic,Petrol,2.0,163382,Excellent,3,GPS,2312602
Subaru,XV,2018,Japan,Manual,Diesel,2.5,92082,Poor,0,Backup Camera,700719
Mercedes,E-Class,2004,Germany,Manual,Petrol,2.0,147802,Very Good,5,Leather Seats,1523919
Toyota,RAV4,2009,Japan,Manual,Petrol,1.4,58101,Very Good,2,Bluetooth,860311
Mercedes,E-Class,2002,Germany,Manual,Diesel,4.0,126972,Good,5,Sunroof,1707150
Volkswagen,Tiguan,2014,Germany,Automatic,Diesel,4.0,58852,Poor,4,None,1538810
Honda,Civic,2000,Japan,Automatic,Diesel,3.0,97074,Poor,3,Heated Seats,128190
Subaru,Impreza,2003,Japan,Manual,Diesel,3.2,91486,Fair,0,Heated Seats,881313
BMW,5 Series,2007,Germany,Manual,Petrol,2.0,122395,Good,2,Backup Camera,1587875
BMW,3 Series,2007,Germany,Automatic,Diesel,1.6,22744,Fair,4,Leather Seats,1336766
Mercedes,C-Class,2020,Germany,Manual,Petrol,3.0,95587,Good,3,Heated Seats,2340682
Honda,Accord,2005,Japan,Automatic,Diesel,1.6,65211,Excellent,5,Heated Seats,683533
Nissan,Navara,2005,Japan,Automatic,Petrol,1.6,125352,Poor,4,Sunroof,263641
BMW,3 Series,2019,Germany,Manual,Petrol,4.0,53574,Very Good,5,None,2951073
Nissan,Navara,2021,Japan,Manual,Diesel,2.5,18725,Excellent,3,Backup Camera,1762432
Ford,Ranger,2002,USA,Manual,Diesel,4.0,21155,Fair,1,Bluetooth,894579
Toyota,Land Cruiser,2010,Japan,Manual,Diesel,2.0,133501,Poor,0,Bluetooth,559246
Honda,CR-V,2001,Japan,Manual,Petrol,2.5,56761,Very Good,5,Leather Seats,341768
BMW,5 Series,2003,Germany,Manual,Diesel,3.2,47725,Very Good,0,None,2361226
Toyota,RAV4,2012,Japan,Manual,Diesel,3.2,146224,Very Good,0,GPS,1512819
Volkswagen,Golf,2019,Germany,Manual,Diesel,2.0,23067,Poor,0,Leather Seats,1545952
Nissan,Navara,2007,Japan,Automatic,Petrol,4.0,159649,Very Good,3,Heated Seats,1231352
Toyota,RAV4,2019,Japan,Automatic,Petrol,2.0,161192,Very Good,3,Leather Seats,1179142
Nissan,Navara,2020,Japan,Automatic,Diesel,2.0,179153,Fair,3,Heated Seats,873925
Honda,CR-V,2002,Japan,Automatic,Petrol,1.6,109796,Excellent,0,Backup Camera,418092
Honda,Fit,2015,Japan,Automatic,Petrol,1.6,74065,Excellent,5,Leather Seats,1218707
Subaru,Forester,2013,Japan,Manual,Petrol,1.6,150111,Excellent,5,Backup Camera,1055689
Volkswagen,Polo,2007,Germany,Automatic,Diesel,2.5,107649,Very Good,1,Bluetooth,1767555
Volkswagen,Passat,2017,Germany,Automatic,Petrol,2.5,189711,Good,0,Sunroof,2142332
BMW,5 Series,2011,Germany,Automatic,Petrol,4.0,160476,Fair,2,Bluetooth,1919196
Honda,Accord,2017,Japan,Manual,Petrol,1.6,168717,Poor,4,Heated Seats,649363
BMW,X5,2002,Germany,Automatic,Petrol,1.6,157048,Very Good,1,None,1533081
BMW,X3,2005,Germany,Automatic,Diesel,1.4,10892,Fair,5,Heated Seats,1343332
Honda,Fit,2020,Japan,Automatic,Petrol,1.6,38661,Fair,2,None,1240458
BMW,3 Series,2000,Germany,Manual,Diesel,2.0,178995,Very Good,3,Sunroof,1375647
Nissan,X-Trail,2021,Japan,Manual,Diesel,1.4,94092,Poor,0,Leather Seats,892687
Mercedes,GLA,2002,Germany,Automatic,Petrol,3.2,70479,Poor,2,Bluetooth,1134366
Volkswagen,Polo,2022,Germany,Manual,Diesel,4.0,137230,Poor,2,Leather Seats,1765574
BMW,3 Series,2012,Germany,Manual,Petrol,3.2,151515,Very Good,5,GPS,2512112
BMW,3 Series,2015,Germany,Manual,Diesel,1.6,81634,Fair,5,None,1604999
Subaru,XV,2000,Japan,Manual,Petrol,2.5,199708,Good,4,Backup Camera,158388
Volkswagen,Golf,2020,Germany,Automatic,Diesel,2.0,164274,Good,4,Heated Seats,2170075
Ford,Ranger,2021,USA,Manual,Petrol,2.5,180096,Very Good,0,Leather Seats,1478335
BMW,X5,2023,Germany,Manual,Diesel,1.6,33682,Excellent,3,Sunroof,3081446
BMW,3 Series,2011,Germany,Manual,Diesel,2.5,109052,Poor,2,GPS,1134733
Ford,Ranger,2023,USA,Manual,Diesel,2.5,93673,Excellent,4,Heated Seats,1814574
Subaru,Impreza,2018,Japan,Manual,Petrol,1.4,27271,Excellent,2,Sunroof,1579679
Nissan,Juke,2010,Japan,Manual,Petrol,1.6,194625,Fair,1,Heated Seats,571804
Toyota,Corolla,2009,Japan,Automatic,Diesel,3.2,94503,Poor,1,Sunroof,809892
BMW,X5,2016,Germany,Manual,Diesel,1.4,97301,Excellent,0,Sunroof,2720709
Toyota,Camry,2018,Japan,Manual,Diesel,2.0,86373,Very Good,5,Leather Seats,1258181
Honda,Accord,2016,Japan,Manual,Petrol,2.5,142965,Fair,4,GPS,706517
BMW,5 Series,2015,Germany,Manual,Petrol,2.5,95065,Poor,1,None,1383092
BMW,5 Series,2002,Germany,Manual,Petrol,1.6,5964,Excellent,3,Leather Seats,1875927
Volkswagen,Golf,2000,Germany,Manual,Petrol,2.0,39650,Good,0,None,1592670
Nissan,Navara,2015,Japan,Automatic,Diesel,2.0,75369,Excellent,5,None,1310543
Volkswagen,Golf,2017,Germany,Automatic,Petrol,1.6,131741,Excellent,4,GPS,2475159
Toyota,Corolla,2004,Japan,Manual,Petrol,2.0,42280,Very Good,3,Sunroof,617704
Toyota,Land Cruiser,2015,Japan,Manual,Diesel,2.5,38101,Excellent,4,Backup Camera,1352675
BMW,3 Series,2023,Germany,Automatic,Diesel,1.6,183121,Good,2,GPS,2440965
Volkswagen,Polo,2017,Germany,Automatic,Petrol,1.4,66656,Very Good,0,Leather Seats,2533901
Honda,Accord,2017,Japan,Manual,Diesel,3.0,55636,Excellent,2,Sunroof,1535629
Volkswagen,Tiguan,2005,Germany,Automatic,Diesel,3.2,104413,Excellent,5,GPS,2294208
Volkswagen,Polo,2009,Germany,Manual,Diesel,1.4,20752,Poor,2,None,1148810
Volkswagen,Passat,2004,Germany,Manual,Diesel,2.0,163627,Very Good,0,Heated Seats,1719618
Subaru,Impreza,2002,Japan,Automatic,Petrol,1.4,141306,Poor,3,Sunroof,154230
Ford,Explorer,2003,USA,Automatic,Petrol,1.6,33535,Good,2,Backup Camera,547101
Honda,Civic,2020,Japan,Automatic,Diesel,3.2,108252,Very Good,5,None,1913388
BMW,X5,2011,Germany,Automatic,Petrol,2.5,75709,Excellent,4,None,2142370
Mercedes,GLA,2018,Germany,Automatic,Petrol,1.4,77076,Poor,1,Bluetooth,1342998
Ford,Focus,2006,USA,Automatic,Diesel,2.5,154126,Fair,4,Bluetooth,281022
Ford,Focus,2015,USA,Manual,Diesel,1.8,172946,Good,3,Heated Seats,924780
Honda,Accord,2000,Japan,Manual,Diesel,2.0,50932,Good,3,GPS,351073
BMW,3 Series,2012,Germany,Manual,Diesel,1.6,190989,Fair,4,Sunroof,1434685
BMW,5 Series,2012,Germany,Manual,Petrol,2.5,81091,Very Good,1,None,2278385
Honda,Civic,2015,Japan,Automatic,Petrol,2.0,123094,Very Good,4,Sunroof,957748
BMW,X3,2019,Germany,Manual,Petrol,2.0,33929,Excellent,1,Sunroof,2886005
Nissan,X-Trail,2014,Japan,Manual,Petrol,3.0,178424,Fair,0,Leather Seats,899648
Toyota,Land Cruiser,2019,Japan,Automatic,Petrol,3.2,71810,Very Good,4,Leather Seats,2003324
Ford,Fiesta,2013,USA,Manual,Petrol,2.5,40178,Poor,0,Heated Seats,709050
Subaru,Outback,2002,Japan,Manual,Diesel,4.0,59121,Very Good,0,Bluetooth,1052875
BMW,5 Series,2005,Germany,Manual,Diesel,1.6,149963,Good,2,Sunroof,1449335
Honda,Fit,2006,Japan,Manual,Petrol,4.0,80785,Very Good,2,Sunroof,1271495
BMW,X3,2023,Germany,Manual,Petrol,4.0,142440,Very Good,3,Backup Camera,3138580
Volkswagen,Passat,2006,Germany,Automatic,Petrol,3.0,102334,Very Good,2,Sunroof,1746358
BMW,3 Series,2011,Germany,Manual,Diesel,1.4,68738,Fair,2,Leather Seats,1417525
BMW,X5,2008,Germany,Manual,Diesel,4.0,137518,Very Good,4,Heated Seats,2302950
Honda,Accord,2008,Japan,Automatic,Petrol,3.2,59057,Good,5,GPS,1187259
Subaru,Outback,2012,Japan,Manual,Diesel,1.6,33382,Good,0,None,1051148
BMW,3 Series,2023,Germany,Automatic,Diesel,1.8,9360,Very Good,4,Heated Seats,2721332
Mercedes,E-Class,2002,Germany,Automatic,Diesel,1.6,29511,Poor,0,GPS,956483
Nissan,Navara,2001,Japan,Automatic,Diesel,2.5,46603,Excellent,1,Backup Camera,712217
Subaru,Impreza,2011,Japan,Automatic,Petrol,2.0,154090,Very Good,0,Bluetooth,946623
BMW,X5,2019,Germany,Manual,Diesel,2.5,176354,Fair,5,Sunroof,1718363
Volkswagen,Tiguan,2006,Germany,Automatic,Diesel,1.6,127355,Poor,4,Leather Seats,816817
Mercedes,E-Class,2010,Germany,Manual,Diesel,3.0,140978,Poor,5,Leather Seats,1076643
Subaru,Forester,2004,Japan,Manual,Petrol,3.2,54152,Fair,0,Leather Seats,926145
Ford,Ranger,2016,USA,Automatic,Petrol,2.5,10232,Fair,5,Heated Seats,930209
Ford,Fiesta,2013,USA,Manual,Petrol,4.0,193817,Poor,3,Bluetooth,714780
Volkswagen,Polo,2023,Germany,Manual,Diesel,2.5,78622,Very Good,3,GPS,2781380
Volkswagen,Polo,2005,Germany,Automatic,Diesel,1.4,121584,Poor,1,Bluetooth,1029198
BMW,3 Series,2000,Germany,Manual,Petrol,1.8,65227,Poor,5,Sunroof,822651
Nissan,Qashqai,2021,Japan,Automatic,Diesel,1.4,23044,Very Good,1,Backup Camera,1728906
Volkswagen,Tiguan,2000,Germany,Manual,Diesel,1.4,84366,Poor,3,None,768616
Toyota,RAV4,2010,Japan,Automatic,Petrol,4.0,175601,Poor,0,GPS,780751
Subaru,XV,2000,Japan,Automatic,Diesel,4.0,65863,Fair,5,Heated Seats,678184
Subaru,Impreza,2012,Japan,Manual,Petrol,1.6,169970,Excellent,5,Heated Seats,1060093
BMW,X3,2005,Germany,Automatic,Petrol,1.6,62288,Poor,4,Bluetooth,977076
BMW,3 Series,2009,Germany,Manual,Petrol,1.6,111251,Excellent,1,Heated Seats,2195318
BMW,3 Series,2012,Germany,Manual,Petrol,2.0,81927,Good,5,None,1854409
Volkswagen,Golf,2016,Germany,Manual,Petrol,2.5,27218,Fair,1,Heated Seats,1792901
Nissan,Qashqai,2023,Japan,Manual,Petrol,2.5,125795,Good,0,Heated Seats,1468653
Mercedes,GLE,2019,Germany,Automatic,Diesel,2.0,173935,Good,0,None,2273747
Honda,Civic,2004,Japan,Automatic,Petrol,1.8,41776,Very Good,1,Backup Camera,836685
Toyota,RAV4,2004,Japan,Automatic,Petrol,3.0,27663,Fair,0,Sunroof,657699
BMW,X5,2019,Germany,Manual,Petrol,1.4,192671,Poor,5,Bluetooth,1208572
Toyota,Camry,2017,Japan,Automatic,Petrol,1.4,11418,Very Good,4,GPS,1359205
Honda,CR-V,2006,Japan,Manual,Diesel,2.0,90532,Very Good,5,Sunroof,740859
Nissan,Qashqai,2021,Japan,Manual,Petrol,1.6,121648,Very Good,0,GPS,1405790
Toyota,Land Cruiser,2000,Japan,Automatic,Diesel,1.8,129746,Very Good,1,Leather Seats,265620
Mercedes,E-Class,2020,Germany,Automatic,Petrol,3.2,178002,Excellent,3,Leather Seats,3178935
Volkswagen,Golf,2018,Germany,Manual,Diesel,4.0,60060,Poor,5,None,1564336
Honda,CR-V,2013,Japan,Manual,Diesel,4.0,167488,Poor,1,Backup Camera,835426
Nissan,X-Trail,2020,Japan,Automatic,Diesel,2.0,72325,Very Good,1,Leather Seats,1508190
Toyota,RAV4,2018,Japan,Automatic,Diesel,1.8,155240,Good,0,GPS,1124707
Nissan,Qashqai,2002,Japan,Manual,Diesel,1.6,71621,Poor,4,Backup Camera,223886
BMW,X5,2018,Germany,Automatic,Diesel,3.0,51509,Fair,1,Bluetooth,1828683
Volkswagen,Tiguan,2019,Germany,Automatic,Petrol,3.0,94245,Fair,1,Sunroof,1870291
Ford,Explorer,2014,USA,Manual,Diesel,2.0,13321,Fair,4,Leather Seats,784176
Ford,Focus,2014,USA,Manual,Petrol,2.5,31329,Fair,5,Backup Camera,857466
Subaru,XV,2005,Japan,Manual,Diesel,1.8,15446,Fair,2,Leather Seats,643372
Honda,Accord,2001,Japan,Manual,Diesel,1.4,59015,Good,3,Leather Seats,338367
Volkswagen,Polo,2004,Germany,Manual,Diesel,2.0,102024,Poor,4,Sunroof,892911
Ford,Ranger,2019,USA,Automatic,Petrol,3.2,7702,Very Good,1,Bluetooth,2176680
Nissan,Navara,2001,Japan,Automatic,Diesel,2.0,28114,Fair,3,None,272122
Subaru,Outback,2019,Japan,Automatic,Diesel,1.6,108994,Fair,4,Sunroof,898437
Honda,Accord,2012,Japan,Automatic,Diesel,1.6,85952,Fair,3,Sunroof,620045
Ford,Focus,2004,USA,Automatic,Diesel,3.2,179066,Very Good,2,Leather Seats,992805
Honda,Civic,2004,Japan,Manual,Petrol,2.0,74723,Excellent,2,None,765075
Volkswagen,Polo,2011,Germany,Automatic,Diesel,3.0,182811,Very Good,4,Heated Seats,1962742
Toyota,RAV4,2012,Japan,Manual,Diesel,1.4,44994,Excellent,4,Sunroof,1281775
Volkswagen,Tiguan,2011,Germany,Manual,Diesel,3.2,27230,Very Good,5,Bluetooth,2639931
Nissan,Navara,2021,Japan,Manual,Petrol,3.0,156630,Very Good,5,Leather Seats,1425567
Mercedes,C-Class,2020,Germany,Automatic,Petrol,4.0,152568,Very Good,2,Bluetooth,2981933
Ford,Explorer,2006,USA,Manual,Petrol,4.0,63997,Good,0,GPS,1162156
Volkswagen,Tiguan,2018,Germany,Manual,Petrol,2.5,184774,Excellent,3,Leather Seats,2488348
Toyota,Camry,2020,Japan,Automatic,Diesel,2.5,191811,Fair,5,Sunroof,940847
Mercedes,GLA,2003,Germany,Automatic,Diesel,3.2,161741,Poor,3,Leather Seats,1142234
Toyota,Camry,2022,Japan,Automatic,Petrol,3.2,32402,Good,0,GPS,2042041
Honda,CR-V,2016,Japan,Manual,Petrol,1.6,52606,Very Good,0,Sunroof,1253428
Volkswagen,Polo,2013,Germany,Manual,Petrol,2.5,151250,Fair,4,Leather Seats,1426618
Toyota,RAV4,2004,Japan,Automatic,Petrol,1.6,78627,Fair,0,Heated Seats,566143
Toyota,Camry,2016,Japan,Manual,Diesel,3.2,49099,Very Good,4,Leather Seats,1914009
Nissan,Juke,2019,Japan,Automatic,Diesel,1.8,174522,Very Good,2,Sunroof,1338353
Toyota,Land Cruiser,2023,Japan,Manual,Diesel,4.0,77008,Poor,3,GPS,1039914
Nissan,Navara,2001,Japan,Automatic,Petrol,1.8,181329,Very Good,2,None,254389
Nissan,Juke,2022,Japan,Manual,Diesel,3.2,175139,Fair,0,Heated Seats,1458997
Toyota,RAV4,2020,Japan,Automatic,Diesel,3.0,122645,Poor,0,Bluetooth,856509
Mercedes,GLE,2010,Germany,Manual,Petrol,3.0,115507,Poor,4,Leather Seats,1041775
BMW,5 Series,2005,Germany,Automatic,Diesel,2.5,17967,Good,4,Heated Seats,1649924
Ford,Explorer,2009,USA,Automatic,Diesel,2.5,166106,Excellent,5,None,715683
Subaru,Forester,2015,Japan,Manual,Diesel,1.6,20024,Good,4,GPS,1167194
Honda,Accord,2001,Japan,Manual,Petrol,1.6,26410,Very Good,1,Bluetooth,684044
Volkswagen,Golf,2019,Germany,Manual,Petrol,1.6,36100,Very Good,3,Backup Camera,2675275
Volkswagen,Polo,2014,Germany,Manual,Petrol,1.8,149668,Very Good,2,GPS,2112182
Nissan,Qashqai,2015,Japan,Manual,Diesel,1.8,80474,Poor,3,GPS,671160
Subaru,Forester,2002,Japan,Automatic,Diesel,3.2,127299,Very Good,1,Sunroof,913673
Nissan,Navara,2014,Japan,Manual,Diesel,1.4,168513,Poor,5,None,435239
Subaru,XV,2023,Japan,Manual,Diesel,1.8,39876,Poor,3,GPS,883749
Toyota,Corolla,2000,Japan,Automatic,Diesel,2.5,168912,Fair,3,Sunroof,89222
Mercedes,GLE,2000,Germany,Automatic,Petrol,1.6,58343,Poor,2,Bluetooth,691038
Honda,Civic,2019,Japan,Manual,Diesel,3.2,96541,Fair,1,Bluetooth,1524685
Volkswagen,Passat,2001,Germany,Manual,Petrol,4.0,141888,Good,5,Backup Camera,1655251
Nissan,Navara,2015,Japan,Automatic,Petrol,3.2,28481,Good,2,None,1605552
Ford,Ranger,2015,USA,Automatic,Petrol,2.5,71365,Good,0,Heated Seats,1201309
Honda,Accord,2002,Japan,Automatic,Diesel,2.5,10221,Very Good,5,Sunroof,613224
Subaru,Outback,2008,Japan,Manual,Petrol,2.0,13865,Excellent,4,Heated Seats,1054163
Toyota,Corolla,2014,Japan,Manual,Petrol,2.0,144708,Fair,2,Leather Seats,831635
Toyota,RAV4,2002,Japan,Manual,Petrol,1.6,20123,Fair,5,Heated Seats,395574
Volkswagen,Golf,2019,Germany,Automatic,Diesel,1.6,112802,Excellent,1,Bluetooth,2712834
Mercedes,E-Class,2002,Germany,Automatic,Diesel,1.6,168389,Good,4,Backup Camera,1268711
Mercedes,E-Class,2010,Germany,Automatic,Diesel,2.0,58788,Good,0,Leather Seats,1970126
Honda,Accord,2022,Japan,Automatic,Diesel,1.6,177270,Poor,2,Leather Seats,872483
Volkswagen,Polo,2010,Germany,Manual,Diesel,2.5,10237,Very Good,1,Heated Seats,2171735
Nissan,Qashqai,2000,Japan,Automatic,Petrol,1.4,53165,Good,4,Sunroof,378210
BMW,X5,2006,Germany,Manual,Petrol,3.2,13122,Very Good,4,Bluetooth,2479847
Mercedes,GLE,2004,Germany,Manual,Diesel,1.6,19915,Very Good,4,Bluetooth,1682461
Subaru,Outback,2014,Japan,Manual,Petrol,1.6,63414,Good,2,GPS,957670
Mercedes,C-Class,2010,Germany,Manual,Petrol,4.0,94097,Very Good,2,None,2493313
Volkswagen,Golf,2021,Germany,Automatic,Diesel,1.4,177642,Fair,0,Leather Seats,1802963
Mercedes,C-Class,2017,Germany,Automatic,Petrol,1.4,120426,Good,4,Bluetooth,2113877
Ford,Fiesta,2010,USA,Manual,Petrol,2.0,33401,Excellent,3,Bluetooth,1010733
Ford,Focus,2004,USA,Manual,Diesel,2.0,48285,Poor,2,Sunroof,411413
Toyota,Corolla,2019,Japan,Manual,Petrol,1.8,49512,Poor,0,Backup Camera,919934
Honda,Accord,2014,Japan,Manual,Petrol,3.2,107267,Good,5,Backup Camera,1307071
Nissan,Juke,2018,Japan,Manual,Petrol,2.0,84269,Poor,3,Leather Seats,773561
Honda,CR-V,2008,Japan,Automatic,Petrol,3.0,59079,Fair,4,Sunroof,447698
Ford,Focus,2004,USA,Automatic,Diesel,1.4,174377,Fair,5,Sunroof,358877
Honda,Civic,2001,Japan,Manual,Diesel,3.2,105056,Very Good,0,GPS,848127
BMW,X5,2006,Germany,Automatic,Diesel,1.8,131139,Good,3,Leather Seats,1491546
Toyota,Corolla,2005,Japan,Manual,Diesel,2.0,80528,Excellent,5,Heated Seats,651546
Ford,Ranger,2017,USA,Manual,Petrol,1.8,69647,Poor,1,None,773165
Volkswagen,Passat,2018,Germany,Manual,Diesel,2.0,143494,Poor,3,Leather Seats,1150803
Volkswagen,Polo,2008,Germany,Manual,Diesel,1.4,123092,Poor,4,Sunroof,899247
Ford,Focus,2016,USA,Automatic,Diesel,1.4,85681,Excellent,1,Bluetooth,1347364
BMW,X3,2011,Germany,Automatic,Petrol,3.0,80826,Poor,1,Leather Seats,1149780
Subaru,Forester,2018,Japan,Manual,Diesel,1.6,76550,Very Good,5,Heated Seats,1262620
Honda,CR-V,2002,Japan,Automatic,Petrol,1.8,122514,Good,2,Bluetooth,431137
Honda,CR-V,2004,Japan,Automatic,Petrol,1.4,172797,Fair,1,Leather Seats,459185
Ford,Explorer,2002,USA,Manual,Diesel,1.8,155144,Excellent,4,Leather Seats,353673
Honda,CR-V,2002,Japan,Manual,Diesel,2.0,117507,Good,4,None,260214
Volkswagen,Polo,2019,Germany,Manual,Diesel,3.0,27988,Excellent,0,Backup Camera,2887484
BMW,X5,2009,Germany,Automatic,Petrol,3.2,150591,Poor,3,Backup Camera,1270359
Toyota,RAV4,2016,Japan,Manual,Diesel,2.5,122374,Good,2,None,1051395
Nissan,Qashqai,2014,Japan,Automatic,Petrol,1.6,123677,Poor,1,Heated Seats,535339
Subaru,Forester,2003,Japan,Manual,Petrol,3.0,137029,Fair,4,Bluetooth,352570
Nissan,Qashqai,2010,Japan,Manual,Petrol,2.5,58468,Excellent,4,Heated Seats,887160
Nissan,Qashqai,2017,Japan,Automatic,Diesel,1.6,12999,Excellent,5,Backup Camera,1574964
Mercedes,E-Class,2005,Germany,Automatic,Petrol,4.0,47095,Poor,4,Bluetooth,1216111
Subaru,Outback,2013,Japan,Automatic,Petrol,1.8,47421,Fair,0,Bluetooth,868279
Ford,Fiesta,2021,USA,Automatic,Diesel,4.0,96844,Excellent,1,Bluetooth,2285508
Honda,Accord,2019,Japan,Manual,Petrol,2.5,43135,Excellent,4,Bluetooth,1613323
Toyota,Corolla,2017,Japan,Manual,Petrol,2.0,199519,Poor,2,Leather Seats,701648
Nissan,Qashqai,2023,Japan,Manual,Diesel,2.5,8829,Fair,2,GPS,1182039
BMW,X3,2018,Germany,Automatic,Diesel,1.6,146455,Poor,2,Leather Seats,1359095
Nissan,Juke,2021,Japan,Automatic,Petrol,1.8,39386,Poor,3,GPS,903106
Volkswagen,Tiguan,2021,Germany,Manual,Petrol,4.0,96552,Very Good,3,Leather Seats,3169473
Honda,Civic,2015,Japan,Manual,Petrol,1.6,63857,Good,5,GPS,950481
Ford,Ranger,2002,USA,Automatic,Petrol,3.0,149235,Excellent,3,Heated Seats,330235
Honda,Accord,2002,Japan,Manual,Diesel,2.0,5428,Good,4,GPS,586073
Ford,Fiesta,2004,USA,Automatic,Petrol,1.4,9203,Poor,2,GPS,329731
Honda,Civic,2023,Japan,Manual,Petrol,1.6,94401,Fair,0,GPS,1321133
BMW,X5,2012,Germany,Automatic,Diesel,1.4,165733,Fair,4,Heated Seats,1440692
Ford,Ranger,2014,USA,Automatic,Diesel,1.8,42924,Fair,5,None,816153
Ford,Explorer,2001,USA,Manual,Diesel,4.0,95252,Poor,5,Backup Camera,390131
Volkswagen,Polo,2017,Germany,Automatic,Petrol,1.6,86233,Very Good,4,Sunroof,2280346
Ford,Fiesta,2001,USA,Manual,Petrol,2.0,12451,Excellent,0,Backup Camera,732517
Toyota,Camry,2005,Japan,Automatic,Diesel,3.0,39685,Good,4,Heated Seats,616884
Toyota,RAV4,2010,Japan,Manual,Diesel,1.6,9289,Fair,2,Bluetooth,662350
BMW,X5,2007,Germany,Manual,Diesel,3.0,190790,Poor,1,None,1044993
Nissan,X-Trail,2019,Japan,Manual,Petrol,1.4,141038,Excellent,1,Backup Camera,1599311
Toyota,Land Cruiser,2021,Japan,Automatic,Diesel,2.5,69578,Excellent,1,Heated Seats,1817141
Volkswagen,Golf,2012,Germany,Automatic,Diesel,3.0,155961,Very Good,2,None,2088570
Volkswagen,Tiguan,2017,Germany,Automatic,Petrol,1.4,194825,Very Good,2,Leather Seats,2348535
Toyota,Land Cruiser,2019,Japan,Manual,Diesel,2.0,198084,Good,1,None,1197758
Toyota,RAV4,2007,Japan,Manual,Diesel,4.0,54606,Very Good,4,None,1234649
Volkswagen,Golf,2003,Germany,Automatic,Petrol,1.4,187138,Fair,1,Leather Seats,1078598
Subaru,Outback,2011,Japan,Manual,Diesel,3.2,88112,Good,4,GPS,1293931
BMW,X3,2019,Germany,Manual,Petrol,3.2,36007,Excellent,1,Backup Camera,3531838
Subaru,Outback,2009,Japan,Manual,Petrol,1.8,67321,Excellent,0,GPS,1100338
